Last Name,First Name,Title,ISBN,H/S,Comments
Hawthorne,Nathaniel,The House of the Seven Gables,0-553-21206-0,S,
Heiligman,Deborah,Charles and Emma ,978-0-8050-8721-5,H,
Heinlein,Robert A.,The Moon is a Harst Mistress,0-312-86355-1,S,
Helgerson,Joseph,Horns & Wrinkles,978-0-618-98178-6,S,
Helprin,Mark,A Soldier of the Great War,0-15-183600-0,H,
Helprin,Mark,Ellis Island,0-15-628315-8,S,
Helprin,Mark,Freddy and Fredericka,0-14-303725-0,S,
Helprin,Mark,Freddy and Fredericka,1-59420-054-8,H,
Helprin,Mark,Memoir from Antproof Case,0-15-100097-2,H,
Helprin,Mark,Winter's Tale,0-15-600194-2,S,
Helprin,Mark,Winter's Tale,0-671-50987-X,S,
Hemingway,Ernest,A Farewell to Arms,0-684-80146-9,S,
Hemingway,Ernest,The Old Man and the Sea,0-02-051910-9,S,
Hemingway,Ernest,The Sun Also Rises,978-0-684-80071-4,S,
Hemmingway,Ernest,True at First Light,0-684-84921-6,H,
Hepburn,Katharine,Me,0-345-37770-2,S,
Hesiod,,Theogony,0-672-60202-4,S,
Hesse,Herman,Siddhartha,0-553-20884-5,S,
Hesse,Herman,Siddhartha,978-1-56731-007-8,H,
Hesse,Herman,Steppenwolf,,S,
Hesse,Karen,Out of the Dust,0-590-37125-8,S,
Hesse,Karen,Phoenix Rising,0-8050-3108-1,H,
Hewlett,Maurice,Open Country,,H,
Heyerdahl,Thor,Kon-Tiki,0-671-72652-8,S,
Hiaasen,Carl,Scat,978-0-375-83486-8,H,
Hiaasen,Carl,Skinny Dip,0-375-41108-9,H,
Higgins,George V.,A Change of Gravity,0-8050-4815-4,H,
Higgins,Jack,Flight of Eagles,0-399-14376-9,H,
Higgins,Jack,The Eagle Has Landed,0-553-02500-7,S,
Higgins,Jack,The President's Daughter,0-425-16341-5,S,
Higgins,Jack,Touch the Devil,0-451-12468-5,S,
Hilderbrand,Elin,Summer People,978-0-312-99719-9,S,
Hillerman,Tony,The Best of the West,0-06-016664-9,H,
Hilton,James,Lost Horizon,0-89577-361-9,H,
Hilton,James,Lost Horizon,,S,
Hobbes,Thomas,Leviathan,0-460-01691-1,S,
Hoff,Benjamin,The Tao of Pooh,0-14-006747-7,S,
Hoffman,Alice,Turtle Moon,0-425-13699-X,S,
Holman,Sheri,The Dress Lodger,0-345-43691-1,S,
Holmes,Richard,The Age of Wonder,978-1-4000-3187-0,S,
Holt,Victoria,Mistress of Mellyn,,S,Qty: 2
Holt,Victoria,Snare of Serpents,0-449-21828-3,S,
Holt,Victoria,The Curse of the Kings,,S,
Holt,Victoria,The House of a Thousand Lanterns,,S,Library of Congress Catalog Card No. 73-20514
Holt,Victoria,The Pride of the Peacock,0-449-23198-4,S,
Holt,Victoria,The Secret Woman,,S,Library of Congress Catalog Card No. 73-103757
Holt,Victoria,The Shadow of the Lynx,,S,Library of Congress Catalog Card No. 72-144273
Holt,Victoria,The Shivering Sands,,S,Library of Congress Catalog Card No. 69-10947
Homer,,The Iliad,,H,
Homer,,The Odyssey,0-670-82162-4,H,
Homer,,The Odyssey,,H,Qty: 2
Homer,,The Odyssey,,S,
Horan,Nancy,Loving Frank,978-0-345-49500-6,S,
Hornby,Nick,A Long Way Down,1-59448-193-8,S,
Hosseni,Khaled,The Kite Runner,1-59448-000-1,S,
Houston,Pam,Sight Hound,0-393-32739-6,S,
Howatch,Susan,The Wonder Worker,0-449-00150-4,S,
Hughes,Robert,Things I Didn't Know,978-1-74166-475-1,S,
Hume,David,An Inquiry Concerning Human Understanding,0-672-60218-0,S,
Humphries,Rolfe,Green Armor on Green Ground,,H,Library of Congress Catalog Card No. 56-5664
Huston,James W.,Marine One,978-0-312-36431-1,H,
Huxley,Aldous,Brave New World Revisited,0-06-080023-2,S,
Iacocca,Lee,Iacocca,0-553-05067-2,H,
Infante,G. Cabrera,Three Trapped Tigers,0-571-15370-4,S,
Ingram,Eleanor M.,From the Car Behind,,H,
Innes,Hammond,The Wreck of the Mary Deare,,H,
Irving,John,A Widow for One Year,0-375-50137-1,H,
Irving,John,The Hotel New Hampshire,0-525-12800-X,H,
Jackson,Joshilyn,The Girl Who Stopped Swimming,978-0-446-69782-8,S,
Jacobs,Kate,The Friday Night Knitting Club,978-0-399-15409-6,H,
Jacques,Brian,Mossflower,0-380-70828-0,S,
James,E L,Fifty Shades of Grey,978-0-345-80348-1,S,
James,Henry,The Golden Bowl,1-85326-249-8,S,
James,Henry,The Portrait of a Lady,,H,
James,Henry,The Turn of the Screw,,H,
James,Henry,The Turn of the Screw and Other Short Fiction,978-0-553-21059-0,S,
Jerome,Jerome K.,Three Men In a Boat,,H,
Jones,Edward P.,New Stories from the South,978-1-56512-556-8,S,
Jones,James,Go to the Widow-Maker,,S,
